contamination	train
result normal natural artificial	train
artificial change high consumption	train
contamination	train
typhoon storm unstable	train
happen major change	train
heater gladly rainfall concerned	train
cold	train
word use scare certain behavior pattern cover rise energy shortage	train
man	train
global warm melt	train
environment	train
milder winter turbulent weather condition	train
global warm water elevation storm etc	train
theme	train
co	train
challenge	train
wind rain trigger landslide	train
poor polar bear ice bear starve eradicate	train
control universe	train
scary future	train
sorrow	train
threat	train
climate change industrial nature control wave	train
think natural able adapt	train
crisis	train
weather condition	train
little climate globe represent big influence climate term volcanic	train
nonsense	train
pollution	train
help world	train
rough weather	train
co high aircraft	train
china start care	train
worry set good example important thing use help climate change change start man know norway low technology knowledge important thing contribute	train
wish winter snow	train
earth host change forever look history book wrong pay money	train
rainfall snow natural	train
warm wetter weather	train
severe weather	train
weather loss animal specie bear time	train
natural happen time	train
world	train
complicated question ice age come	train
melt sea rise wetter climate	train
possibly number people planet drastically sustainable certainly happen form natural positive	train
weather change	train
urgent	train
come condemn generation necessary	train
climate change man	train
future disaster	train
co limit	train
rise sea level	train
possible	train
climate change planet natural process end planet destroy billion	train
extreme melting ice polar high sea	train
convince interpretation choose life expose climate change snow lack snow precipitation little precipitation cold summer hot summer	train
storm flood people helpless come deluge	train
climate change country experience bad typhoon hurricane	train
think climate change happen slowly surely ice age	train
storm	train
level co atmosphere impact global temperature	train
extreme flood graduate water level	train
storm devastation extreme cold heat rain dry ice melt sea rise	train
giant international challenge hopeless agree measure	train
weather change	train
sea level rise	train
increase	train
frighten	train
global warming melt difficult live condition plant	train
weather change	train
scary	train
electric car	train
talk action	train
melt polar wind rain	train
hysteria bigotry solve great challenge bribe bother detail marginal effect small	train
climate change century	train
lot rain wind	train
storm natural	train
gas	train
think natural previously think	train
gallery politician impotence mismatch speech action man completely wrong direction able	train
struggle today generation	train
wear time	train
melt ice	train
dramatic change climate measure	train
pole melt water rise	train
people think reality native content planet change time time host set absolute perform host planet example miljonar	train
hot summer winter new ice age believe live hurt effort benefit	train
change	train
extreme weather deglaciation	train
hot extreme weather	train
extreme weather	train
negative climate climate change seriously seriously predict happen long term preventive measure	train
uncertainty somewhat threaten worry come	train
use fossil fuel oil industry dominant economy limit include wag lead oil industry	train
politically correct talk think different	train
global distribution food	train
sorry poor especially locate low relation sea level	train
severe weather snow precipitation	train
naturally people little guilt	train
temperature increase	train
black dirty air china contaminate food flood	train
like china mean zero relative	train
process destroy earth overconsumption west negatively affect environment change initially affect people live	train
hysteria	train
single minded climate change globe pollution major problem big responsibility eg china india	train
climate change man doubt reader clean doomsday temperature increase level recent	train
crisis	train
flood	train
frighten	train
ice melt natural end story earth change drastically change apply need stop non renewable energy source especially western world reduce consumption level notch live like consumer hell ability change rich country	train
financial fraud	train
weather	train
engine start	train
disturb	train
excuse save money	train
temperature change unstable weather condition step weather example storm	train
typhoon storm	train
ozone layer	train
ice melt pole danger large increase sea level minor motoring	train
natural large cycle	train
wind	train
greenhouse emission energy usage inefficiency overconsumption	train
warm climate melt polis extreme	train
easy life	train
global crisis	train
cold winter rain summer stop flight south increase considerably heat pump w grind source red energy need solar energy heat	train
important	train
problem	train
solve problem technically	train
natural variation result cycle earth previously inside relation nature emit late volcanic eruption iceland drop co industry able demonstrate period eruption	train
medium induce doom	train
coal power plant	train
change	train
global warm warm	train
worry die	train
wind force	train
weather change	train
upcoming climate	train
climate change rain bad weather storm instead buy emission government focus simple people daily live recycle reuse etc	train
frighten	train
natural disaster	train
fraud foundation global cat	train
water rise short winter	train
think history occur climate change	train
severe weather temperature variation natural	train
flood smoke	train
extinction depend melt ice	train
split human influence deforestation natural cycle nature	train
frightening man major change reverse trend norway need work actively develop term provide guidance real help	train
sad	train
extinction animal specie	train
global warm natural change	train
people live earth think action affect climate west consume	train
happen influence	train
global warm	train
need attention	train
work	train
climate milder season bad weather extreme weather	train
foolish winter summer care garbage recycle	train
pollution warm winter garbage glaci animal life	train
major weather flood extreme weather	train
heater storm rain natural	train
temperature soil	train
melt ice	train
temperature weather disaster weather phenomenon increase frequency strength gradually time	train
people exploit earth gain reduce soon possible	train
people wildlife affect	train
unfortunate	train
time series analysis temperature geographically distribute	train
severe weather	train
consumption reduce	train
sea level rise	train
natural	train
warm climate	train
insufficient political commitment great ignorance population bite like smoke long time die nonetheless danger	train
tree burn	train
area need focus measure implement wit	train
heavy rainfall form rain strong wind mild winter flood	train
northern winter wetter colder	train
trouble	train
climate change affect negative people entirety difference reduce number people particularly need example good climate policy nation rule nye house block advertise good recovery	train
solve	train
major change climate	train
well pollute soil	train
think climate change occur different age independent human influence pollute matter combat	train
unstable weather	train
global warm	train
responsibility especially afford clean develop	train
extreme weather	train
snow melt pole	train
weather wind rain	train
deglaciation polar	train
talk springtime money treasury help environment want reach people benefit	train
find solution storage co	train
inclement weather coast unpleasant live	train
wind rain disaster	train
try reduce slow stop	train
think technology prohibition public transport	train
dramatic change plant live condition extreme weather	train
hope turn hear	train
weather	train
bad pity live pacific	train
warm wetter storm	train
frighten	train
global warm	train
global warm reason pollution fell	train
global term powerful storm sea level rise	train
renewable energy	train
disaster	train
extreme subsequent natural	train
actually nervous word term climate change like	train
think impact climate minimal relation large world run environmental charge charge inter fuel diesel gasoline nordnorge long winter long distance hypocritical money bad predispose treasury oil spring advantage affect climate earth significant way good example let oil present	train
planet universe tiny dot irrelevant climate complex planetary influence	train
blizzard heavy precipitation gulf stream require change direction melt ice polar	train
natural change mainly cause solar activity climate change political propaganda create find way tax population limit private oil usage oil sell abroad like fight nature environment think important health fresh nature tourism reduce greenhouse gas emission devote well infrastructure transport faster b focus fight tax fee environmental tax essentially harmful poor standard people normal people need car drive work environmental tax bad equality force drive expensive freedom stay spread country wish apply infrastructure suggestion climate change moral good country future build nationwide cover lane highway world high standard love far build bridge tunnel	train
hot	train
weather	train
natural	train
today stone age tragic	train
think melt think china like incredibly wonder reduce think energy different form heat pump lead light equipment use significantly energy common	train
sea level rise ice melt	train
north pole melt	train
temperature increase	train
bad enemy come climate change sense population growth earth adapt eternal increase population earth double start s addition technological lead increase consume fossil fuel essentially population growth blame unsustainable population growth today far sustainable matter little drill oil matter big populous china future	train
scare tactic today new religion believe approve truth ignorant buy carbon offset help thing sufficient worry climate change happen human intervention build opera house right sea think sea rise ominously year	train
extreme weather	train
last change temperature rainfall normally	train
people try destroy world high consumption standard live west come	train
rise water pole melt	train
electric bike	train
large water	train
heavy rain high earth	train
warm wetter wilder	train
horror scary people seriously	train
feel little concern climate change	train
coal power plant	train
earth climate vary tropical forest major	train
happen life think technology catch climate threat	train
environmental change	train
wetter wilder warm	train
conflict	train
oh	train
reduce consumption fossil	train
hope pray world reach agreement comprehensive agreement possible problem rich stop greedy actually help poor invest climate friendly industry co dwindle measure poor oil fund pull dirty environmentally hostile use technology infrastructure etc un create fund rich pay quota mathematically need money promotion environmentally friendly develop rich force spend additional half value spit fund add similar project assistance come un fund country develop sign agreement rich create responsibility	train
ice melt difficult adapt natural change nature difficult time adapt change earth pollute unclean country healthy clean fresh think strange upcoming breathe impure dangerous air	train
greenhouse effect	train
hysteria tell agony norway good live anemic era little pleasure little grief insufficient contact fellow bad mental climate think physical climate	train
natural	train
unavoidable	train
true sad	train
talk little action capitalism govern buy new repair use care well reuse	train
tsunami hurricane flood	train
actually long earth exist	train
water level rise	train
sure mother earth short long cycle pollute ice age	train
world realize need seriously pol ice melt record small large natural increase scope develop process expand economic pollute future need sharpen united	train
crisis flood	train
ice melt	train
ice melt pollution	train
climate change turn late think possible reduce	train
tired	train
exist	train
bad	train
material	train
pollution greenhouse gas	train
global warm ignorance	train
compromise bad globally challenge face humanity long term	train
season world vulnerable natural flood hurricane etc wildlife plant	train
pollute	train
world disaster adult far north completely provide well climate	train
disagree	train
extreme weather natural imbalance live condition planet	train
relevant research field	train
climate change people globe currently country reason necessary reduce stop dangerous development retire think lot especially follow face world bite stick growth economy reign generation dare unpopular partly dramatic need reduce wheel acceleration mean long period readjustment real ecological sustainable production high unemployment necessary low standard live rich world let young enthusiastic people future far important decisive vote matter live	train
melt ice	train
north pole ice thin polar bear negative yes change thing change mark climate change read news	train
temperature change sea level rise frequent extreme weather	train
help	train
severe weather mild winter ice melt	train
like change climate	train
join ensure generation term climate	train
global warm pollution large oil	train
melt po l	train
water level rise	train
melt storm temperature change	train
heat	train
natural	train
greenhouse gas	train
major problem rural	train
climate change great less extent	train
melt ice	train
ice melt extreme	train
insecurity	train
warm rain	train
severe weather	train
storm tide heat drought war	train
human factor impact look history warm cold time great	train
smell	train
temperature rise	train
word think global warming total debate start film inconvenient truth etc think great	train
large country relatively small scatter population save world cost gasoline liter million people pay product oil lie beneath mean use coal world coal pollute think invest solar finally believe world population increase pace eventually reason destroy planet	train
melt ice unstable weather	train
rain bad summer changeable weather	train
unsure man cycle	train
people live earth	train
ice north pole melt open new short continent polar destroy lack food dependent flight	train
temperature change extreme storm	train
extreme weather	train
reduce drive heat home learn environment influence climate kindergarten school	train
warm climate melt ice	train
world time age	train
extreme weather melt ice pole	train
wind rain low tree line rise melt pole	train
low consumption	train
co	train
boil	train
try defend position job	train
precipitation flooding uninhabitable flood loss livelihood unpleasant climate	train
melt ice	train
extreme weather	train
guilty	train
extreme weather	train
think poor lot thinking water	train
normal climate place region world	train
natural heat wave	train
climate change compare	train
generation	train
extreme weather	train
climate change time	train
increase oil temperature	train
fear	train
temperature increase precipitation	train
anxious	train
blame climate wear apparel accord climate	train
greatly exaggerate	train
heat	train
cope sum man natural change affect climate earth surface atmosphere	train
winter storm	train
billion people	train
task claim	train
rise sea level	train
weather	train
extreme weather	train
warm climate pole ice melt	train
disaster	train
high average ocean rise south climate drier climate south	train
extreme lead great destruction high lead b l melt ice organic change earth	train
find	train
guilty conduct lack	train
challenge weather wind rain	train
negative global necessarily locally lot emotion difficult confidence information hear	train
tooth loose cowardly	train
man climate change measure change trend think extreme weather sea rise	train
source separation	train
people longer seriously little wolf wolf little climate low turn little vicious circle generally egocentric behalf nation tire hear affect rest world think shame	train
ice melt	train
responsibility care environment	train
global warm	train
think life earth year	train
think contribute pla cast concrete flexible formwork system help reduce heavy transport concrete simple formwork system rental shorten transport distance rent formwork easy flexible formwork suffer extreme weather faster rebuild home concrete flood use place high altitude large judge soon spar flood disadvantage current flood low height closable build flat surface	train
ice decrease abnormal weather season experience land	train
need think fee climate change engage	train
melt	train
weather change frequent extreme condition	train
confusion weather strong economic politically correct release shall seriously critical possible claim	train
ozone layer pol ice melt	train
small climate change produce emit hazardous affect climate provide immediate effect long term provide major	train
drive ice pole arctic melt use public transport throw food recycle recycle	train
extreme sea level rise natural difficult condition food production	train
difficult word understand	train
flood	train
pol smelt	train
global warm	train
focus	train
rise sea level	train
end world	train
rise water level	train
animal unfortunately negative direction	train
rain	train
destruction	train
policy	train
mas unintereste boring	train
polar bear thing think	train
climate change pollution example ice age pollution	train
co	train
increase sealevel forest poor cute polar bear judge humanity end	train
mass rain	train
flood dry future starvation create food addition overcrowd create mouth feed	train
deterioration	train
pollute help susceptible	train
earth	train
extreme storm	train
global warm melt natural	train
hard precipitation wind extreme	train
important seriously	train
temperature weather change	train
polar bear affect live earth especially rich strive care environment	train
think scary time threat seriously year increase weather relate understand forever protect oil money think come solidarity low consumption low	train
extreme	train
heat	train
little faith recovery	train
ozone layer factory natural capitalism focus profit exploit green company stamp	train
think climate change plant maybe little matter man affect great extent planet live plant look probably time sun momentum	train
risk	train
ice melt pole sea rise	train
volcanic	train
climate probably change somewhat prehistoric animal weather hot day storm temp ago warm vike time man	train
storm destruction	train
cope rapid melt	train
sea level rise population migration global struggle avalanche	train
bloated stupid talk time	train
care climate change	train
temperature sustain basis	train
environment	train
natural	train
rain storm	train
weather change food crisis water crisis ozone layer	train
natural disaster	train
unavoidable	train
severe weather	train
climate change continually lie al gore frighten evidence medium power ability display truth actually uncertainty large industrial world pollute avoid environmental bad way doubt human create thermal energy equivalent solar year heat energy earth impact environment	train
like ras hurricanes flood m m	train
wind rain	train
weather	train
depress	train
challenge	train
greenhouse gas poison emit head climate arctic ice melt sea level rise ocean rise turn lead powerful storm powerful rainfall lead landslide flood	train
severe weather o l tsunami similar climate year round	train
research prove negative spiral difficult thwart	train
co	train
anthropogenic	train
poor	train
exaggerate	train
crisis	train
help rainforest indigenous mord plant animal specie lose svalbard ice melt polar bear die	train
unstable weather extreme weather	train
natural	train
warm climate shallow discharge negative pollution	train
global change	train
happen	train
melt ice pole	train
action paralysis	train
wind weather temperature	train
extreme weather	train
frighten	train
worried difficult change behavior personally improve climate reward measure better pave way well environmental policy	train
hog tree brazil	train
pollution large fleet far well infrastructure spend money train building park lot big reasonable day fee well public municipal underground tram bus car use low	train
ignorance	train
possible	train
high co severe weather	train
natural earth hasty human influence	train
extreme weather	train
anxious future descendant live today master quickly	train
natural melt ice extreme weather	train
global warm	train
winter cold	train
melt ice polar warm soil level greenhouse gas change condition life life	train
right	train
person	train
challenge	train
negative change long term regard weather wind create people ice melt water rise	train
extreme weather	train
extreme weather warm cold flood storm etc	train
surge	train
natural evolution	train
ice melt o l electric car recovery recycle reuse ozone co	train
possible seize	train
wind rain	train
warm wetter climate extreme weather	train
nature time	train
man	train
natural	train
concern	train
grow temperature weather oil	train
climate change man	train
extreme change little	train
rubbish poor air	train
extreme weather	train
wind rain	train
responsibility	train
like flood ras hurricane	train
think humanity dramatic situation	train
thing prevent	train
weather	train
expect extreme	train
natural	train
large storm strong flood	train
cold	train
die	train
think need state responsible	train
rain	train
important care climate	train
raise bar progress success country want progress tenure environmental come ordinary worker guilty long term climate change earth master influence volcanic land plateau offset change distance sun	train
sea level increase stormy weather	train
co melt high temperature	train
afraid happen future subject social knowledge read like spoil undermine future help transmit generation time think actually apply economic transfer habit come environmental friendliness remember come like	train
dead ice melt	train
water level extreme weather	train
nuclear	train
exaggeration	train
dangerous	train
know world way	train
weather change rain wind	train
storm rain	train
gas improve air	train
policy	train
co	train
man believe climate change	train
weather change extreme	train
melt ice polar	train
trigger oversimplify representation phenomenon prove causal	train
wind turbine car bus school level	train
find food ice melt	train
natural change new ice age long term	train
people bread	train
need research renewable energy	train
catastrophic	train
comfortable worry	train
melt ice	train
negative planet	train
negatively	train
hysteria	train
change place atmosphere destroy earth melt ice raise sea level meters initially	train
extreme weather	train
rain flood	train
heavy precipitation	train
change average temperature weather condition extreme	train
extreme weather	train
global warm	train
weather snow	train
act late	train
contamination	train
think cut single day pension fund sick double	train
warm water flood	train
extreme weather	train
immune lot happen ice age weather wave pollute far look positively reduce china good bicycle electric car good	train
melt	train
economic greed	train
excessive	train
earnest	train
wetter warm	train
air water air	train
sad climate change act flood	train
ice melt planet warm rise cut	train
police	train
weather condition	train
result water mol world need change late help	train
co	train
melt ice	train
climate break course	train
bear hear climate change troll tire	train
media exaggerate rise sea level deliberately erroneous report medium level human impact media sided coverage issue	train
warm wetter	train
think flood storm change everyday life elle	train
extreme	train
severe weather high temperature afraid mitigate climate change	train
disaster typhoon devastation death	train
think man natural climate change place time	train
rise sea level	train
frighten	train
deglaciation increase sea surface stand	train
rain ras flood h	train
sea go ladder extreme	train
think long gree rule world use market mechanism influence choice consumption ie cost demolition environment aware consumption environmental climatic reason information report production process good import important inform obviously politic important suppose elect	train
climate change present earth human impact	train
natural	train
fee	train
think man attempt climate change thousandth compare nature nurture capable example volcanic eruption temperature cycle temperature foundation know climate cycle time wrong save liter oil light bulb change china india grow industry pollute today rest world fail reduce good burn oodle	train
heavy rainfall strong wind temperature rise	train
frighten	train
big problem future	train
flood	train
denial	train
climate change	train
climate change come man afford time argue begin build effect climate change crosswalk little interest person blame disaster happen turn time	train
wet weather	train
smell	train
al gore uncomfortable truth	train
climate change reality counter bad	train
problem partially problem combine sensible measure need time	train
needless pollution extensive	train
concern	train
nonsense	train
solar new research natural rush hour electric car	train
wind rain	train
pol ice melt	train
contamination	train
climate change example ago emit greenhouse gas atmosphere climate change warm wetter drier people	train
contribute reduce focus climate change	train
man tendency think future	train
climate change exist earth begin ice age pass warm time come later	train
future	train
hope warm	train
global warming al gore science exam class wind power	train
earth climate change probably experience today	train
headline start bear	train
rise sea level	train
co	train
melt	train
adverse change environment	train
unstable weather	train
flood ras natural thaw	train
natural	train
natural	train
think live	train
rain milder winter	train
honest polar bear die people soil innocent life suffer end suffer think distance like earth nature like think	train
extreme weather	train
arise anthropogenic earth cycle small portion	train
increase temperature	train
change scenery	train
wind precipitation	train
dramatic global reversibly	train
ozone layer	train
global warm	train
temperature weather condition time earth natural climate change earth tilt forth axis period influence natural cycle negatively possibly increase speed life manage people create destruction change global nation personal opinion feel like lose confuse hermit member global anthill people climate continue change change quickly	train
snowless winter	train
improvement area relate friendly nature think use welfare	train
spot truth issue party extreme credible theme debate start lose interest word	train
unstable weather	train
change earth control	train
weather	train
wilder warm wetter	train
scary	train
change soil world little scary happen	train
environment	train
warm cold	train
hotter	train
natural	train
co	train
result major negative change life earth	train
precipitation intensity flood landslide	train
warm weather	train
increase challenge infrastructure relation extreme weather	train
natural fluctuation	train
ice melt	train
probably real	train
dense problematic air high pollution especially winter	train
long term bad hopefully probably irreversible self reinforce change climate wind high result relocation c grind forest vegetation co atmosphere	train
drastic change	train
well save light eat habit eat sell locally produce food cut import eat potato apple etc incredible eater people clot unhealthy food head instead	train
responsibility	train
forest	train
scary	train
pollution pollution contribute accelerate climate change	train
climate change primarily natural cause occur ongoing current climate debate characterize rogue doomsday unfortunately research group feel program commit focus possible negative find conceal uncertainty research result	train
think	train
insecurity	train
uncertain future social change require climate nature environmental protection environment climate research low live consumption	train
renewable energy consumption	train
polar bear extinct everyday soon history	train
extreme storm water increase	train
rainfall wind major world	train
partial optimist happen sunny solar pessimistic view wait	train
scary	train
disaster	train
high temperature extreme surprise speak naively reverse avoid whilst necessary grip equip city country eg build dikes high sea level surprise involve research area fusion energy build home cultural build waterfront	train
excessive importance	train
flood	train
extreme weather	train
iceberg melt bear sea riser alter human warm receive unbearably hot desert propagate enter experience earth distant far small globe process	train
type weather season	train
global warm temperature rise lead melt ice pole	train
severe weather	train
global warm	train
melt pole sea level rise large low lie world migration	train
weather	train
police melting	train
small country like china united states destroy	train
extreme weather	train
week disaster climate change discuss natural reason enormous impact people live storm drought need bother spar	train
weather change lot recent hearth	train
food	train
storm flood storm	train
variable weather condition type extreme weather	train
hysteria	train
medium	train
equal temperature year round	train
risk	train
weather change	train
warm ice melt land sea new ice age come live lose	train
difficult	train
temperature	train
pull involve change everyday	train
good evidence climate change man	train
ice melt polar live assume great coat food	train
tragic responsibility care soil way far care	train
poor wood tree grow fast	train
pollution extreme weather natural	train
ice melt rise water level powerful storm unstable weather warm climate	train
melt ice swim polar bear	train
el bil	train
unexpected	train
warm weather high water level extreme immigration	train
ice melt high water level wind wetter climate milder winter	train
contamination	train
change temperature impact extreme ice melt flood ras	train
far little protect nature	train
flood extreme weather	train
global warming extreme storm	train
scary happen future come	train
north pole melt sea level rise warm climate fight rise sea level prevent climate change	train
pole melt warm climate extreme weather	train
unstable weather flood drought	train
global oil temperature rise weather wild wetter	train
climate change ongoing human impact limit	train
water extreme weather change different geographical climate earth change respect force nature reduce nature clean possible	train
warm humid climate	train
nonsense find lot money climate change create people percent rest natural	train
extreme weather	train
basically natural change global structural change continental plat increasingly increase faster negative result anthropogenic interference	train
rain storm gradually rise sea level dry	train
climate change doubt strange place toll fairly easy rest difficult subject world revolve money money money	train
environment co	train
change adaptation uncertainty angry	train
extremely difficult place international	train
weather natural	train
water wind rain	train
ice melt sea rise	train
natural pollution	train
co	train
global warm	train
start think blame climate change typhoon tsunami etc	train
uncertain climate future	train
think different hard know trust anybody think exaggerate	train
pole melt	train
think easily feasible politic lack initiative lack innovation lack long term think discuss implement insulation house implement tax free multi self interest happen begin wonder think climate change important believe initiate immediate action lead people right direction bother people moment actually serve measure lack think contribute big politician contempt disengage dangerous development people nation entirety	train
difficult reverse possible despite strong economic force oppose	train
snow melt	train
adapt change place earth know change happen work discuss man use fossil fuel finite resource work dependent long term sustainable use include energy production main work technology development change away materialistic world way	train
climate change help world population	train
think climate change man rule time	train
flood damage	train
unstable extreme weather	train
complicate	train
high precipitation	train
high extreme sea level rise	train
global warm	train
temperature increase	train
impossible task	train
lot talk little visible action	train
oil temperature	train
want climate change	train
energy save aware waste single daily basis	train
increase average temperature earth	train
co	train
politically drive research thin ice	train
history climate change normal	train
warm winter snow man change regard host ice age date research area	train
tired word	train
global warm	train
huff	train
difficult know climate change man important reduce pollution powerful poison environment damage people health world	train
fraud	train
car use gasoline	train
rise unstable weather equally season wind rain	train
ozone layer pollution	train
insecurity	train
bump head wall	train
fee	train
cop winter endure throne think scary	train
glacier melt pollution	train
wildlife suffer perish consequence	train
climate change ordinary heat usual place world vice	train
snow sad storm rain warm summer desirable	train
worry	train
melt ice	train
fight scar future generation live	train
major natural concern	train
change world adapt	train
hope soon seriously internationally	train
warm climate summer	train
reduction greenhouse gas ice melt poor suspender polar bear stop slaughter	train
melt polar ice	train
document experience experience anthropogenic climate change time unfortunately handful vocal relatively uninformed succeed create impression case oil producer prevent control dependent fossil fuel oil economy prepare large scale carbon capture storage opportunity play significant role abundant supply renewable energy word unprecedented good situation nation	train
nice hear people drive car climate poor	train
