;age;gender;humanmade;concern;efficacy;income;edu3;openanswer;translation
0;5;2;1;1.0;0.3333333;400000;3;Å være miljø vennlig;Being environmentally friendly
1;4;1;0;0.5;0.3333333;600000;2;å så?har altid vært klimaendring;to sow? have always be climate change
2;4;1;1;0.75;0.3333333;500000;3;Å stange hodet mot veggen;To bump your head against the wall
3;4;2;1;1.0;0.3333333;0;3;å nei ikke igjen - gjør noe med det - NÅ;oh no not again - do something about it - NOW
4;2;2;1;0.75;0.3333333;0;2;Ønsker ikke at klima skal endres;Do not want that climate change will
5;4;1;0;0.5;0.3333333;500000;2;økte utfordringer med infrastrukturen i forhold til ekstremvær;increase challenge with infrastructure in relation to extreme weather
6;1;2;1;1.0;0.3333333;40000;3;Økte globale temperaturer som vil få store konsekvenser bl a i form av flere og kraftigere uvær og havstigning Menneskeskapt;global which will have serious among in term of more and more powerful storm and sea level rise
7;2;2;1;0.5;0.3333333;570000;3;Økt vannstand og ekstremvær;water level and extreme weather
8;3;2;1;0.75;0.6666667;850000;3;økt vannstand hyppigere naturkatastrofer;increase water level more frequent natural
9;3;2;1;0.75;0.6666667;500000;3;økt vannstand;increase water level
10;4;1;0;0.5;0.3333333;900000;2;Økt tempratur;increase oil temperature
11;4;1;1;0.75;0.3333333;525000;2;Økt temperatur skaper mye ekstremvær;temperature create extreme weather
12;3;1;1;0.75;0.6666667;452000;3;Økt temperatur på jorda;temperature of the soil
13;3;1;1;0.5;0.6666667;560000;3;Økt temperatur mer nedbør og mer voldsomt vær;temperature more rainfall and more severe weather
14;4;2;1;1.0;0.6666667;500000;3;Økt temperatur Isen rundt polene smelter Vannet stiger og klima endrer seg mange steder i verden;temperature ice around the pole melt water be rise and climate change in many place in the world
15;4;1;1;0.25;0.3333333;550000;2;Økt temperatur i luft/vann;temperature in the air / water
16;5;2;1;0.75;0.3333333;545000;3;Økt temperatur - økt storm - is smelting - naturkatastrofer - trussel mot dyr i polare strøk -;temperature - increase storm - ice melt - natural - threat to in polar -
17;5;2;1;0.25;0.3333333;400000;2;Økt temperatur;increase temperature
18;4;1;1;0.75;0.3333333;890000;3;Økt temperatur;increase temperature
19;3;1;1;0.5;0.3333333;610000;3;Økt innhold av CO2 i atmosfæren og dens påvirkning på global temperatur;level of CO2 in the atmosphere and its impact on global temperature
20;3;2;1;0.75;0.6666667;515000;3;Økt havnivå;rise sea level
21;2;2;1;0.5;0.6666667;370000;2;Økt CO2 og høye utslepp fra fly;CO2 and high from aircraft
22;5;1;1;0.5;0.3333333;590000;3;Økt CO2 nivå pga bruk av fossilt brensel Økt temperatur;CO2 level due to use of fossil fuel increase temperature
23;5;1;1;0.75;0.3333333;1200000;3;Økonomisk grådighet;economic greed
24;3;2;0;0.25;0.3333333;450000;3;Økning i gjennomsnittstemperatur på jorden;Increase in the average temperature on Earth
25;5;1;1;1.0;0.3333333;500000;3;Økning i ekstremvær;Increase in extreme weather
26;4;2;1;0.25;0.3333333;510000;3;Økning av havnivå;Sea level rise
27;6;1;0;0.75;0.3333333;650000;3;Økning av gjennomsnittlig årstemperatur smelting av polarisen sterkere stormer og skadelig uvær enkelte områder på jorda Stigning av havflaten oversvømmelser;An increase in the average temperature melt of the polar ice storm and damage storm certain of the world by increase the sea surface flood
28;3;1;1;0.75;0.6666667;550000;3;Økning av gjennomsnittlig temperatur Global issmelting;The increase of average temperature Global ice melt
