;age;gender;humanmade;concern;efficacy;income;edu3;openanswer;translation
0;5;2;1;1.0;0.3333333;400000;3;Å være miljø vennlig ;Að vera umhverfisvæn 
1;4;1;0;0.5;0.3333333;600000;2;å så?har altid vært klimaendring ;til svo? hefur alltaf verið loftslagsbreytingar 
2;4;1;1;0.75;0.3333333;500000;3;Å stange hodet mot veggen ;Að hrasa höfuð við vegginn 
3;4;2;1;1.0;0.3333333;0;3;å nei ikke igjen - gjør noe med det - NÅ;Ó nei ekki aftur - gerðu eitthvað um það - nú 
4;2;2;1;0.75;0.3333333;0;2;Ønsker ikke at klima skal endres ;Viltu ekki að loftslagið breytist 
5;4;1;0;0.5;0.3333333;500000;2;økte utfordringer med infrastrukturen i forhold til ekstremvær;Aukin áskoranir við innviði í tengslum við mikla veður 
6;1;2;1;1.0;0.3333333;40000;3;Økte globale temperaturer som vil få store konsekvenser bl a i form av flere og kraftigere uvær og havstigning Menneskeskapt ;Aukin alþjóðleg hitastig sem mun hafa meiriháttar afleiðingar BL a í formi margra og öflugra storma og sjó rísa tilbúin 
7;2;2;1;0.5;0.3333333;570000;3;Økt vannstand og ekstremvær;Aukið vatnsborð og öfgafullt veður 
8;3;2;1;0.75;0.6666667;850000;3;økt vannstand hyppigere naturkatastrofer;Aukið vatnshæð tíðari náttúruhamfarir 
9;3;2;1;0.75;0.6666667;500000;3;økt vannstand;Aukið vatnsborð 
10;4;1;0;0.5;0.3333333;900000;2;Økt tempratur;Aukin hitastig 
11;4;1;1;0.75;0.3333333;525000;2;Økt temperatur skaper mye ekstremvær ;Aukin hitastig skapar mikið af mikilli veðri 
12;3;1;1;0.75;0.6666667;452000;3;Økt temperatur på jorda;Aukin hitastig á jörðinni 
13;3;1;1;0.5;0.6666667;560000;3;Økt temperatur mer nedbør og mer voldsomt vær;Aukin hitastig meiri úrkomu og meira ofbeldi veður 
14;4;2;1;1.0;0.6666667;500000;3;Økt temperatur Isen rundt polene smelter Vannet stiger og klima endrer seg mange steder i verden ;Aukin hitastig í kringum stöngina Melt vatn hækkar og loftslagsbreytingar á mörgum stöðum í heiminum 
15;4;1;1;0.25;0.3333333;550000;2;Økt temperatur i luft/vann;Aukin hitastig í lofti / vatni 
16;5;2;1;0.75;0.3333333;545000;3;Økt temperatur - økt storm - is smelting - naturkatastrofer - trussel mot dyr i polare strøk -;Aukin hitastig - aukin stormur - ísbræðsla - náttúruhamfarir - ógn við dýr í skautasvæðum - 
17;5;2;1;0.25;0.3333333;400000;2;Økt temperatur ;Aukin hitastig 
18;4;1;1;0.75;0.3333333;890000;3;Økt temperatur;Aukin hitastig 
