age;gender;humanmade;concern;efficacy;income;edu3;openanswer;
5;2;1;1;0,3333333;400000;3;Å være miljø vennlig;Being environmentally friendly
4;1;0;0,5;0,3333333;600000;2;å så?har altid vært klimaendring;to sow? has always been climate change
4;1;1;0,75;0,3333333;500000;3;Å stange hodet mot veggen;To bumping your head against the wall
4;2;1;1;0,3333333;0;3;å nei ikke igjen - gjør noe med det - NÅ;oh no not again - do something about it - NOW
2;2;1;0,75;0,3333333;0;2;Ønsker ikke at klima skal endres;Do not want that climate change will
4;1;0;0,5;0,3333333;500000;2;økte utfordringer med infrastrukturen i forhold til ekstremvær;increased challenges with infrastructure in relation to extreme weather
1;2;1;1;0,3333333;40000;3;Økte globale temperaturer som vil få store konsekvenser bl a i form av flere og kraftigere uvær og havstigning Menneskeskapt;Increased global temperatures which will have serious consequences among others in terms of more and more powerful storms and sea level rise manmade
2;2;1;0,5;0,3333333;570000;3;Økt vannstand og ekstremvær;Increased water levels and extreme weather
3;2;1;0,75;0,6666667;850000;3;økt vannstand hyppigere naturkatastrofer;increased water levels more frequent natural disasters
3;2;1;0,75;0,6666667;500000;3;økt vannstand;increased water levels
4;1;0;0,5;0,3333333;900000;2;Økt tempratur;increased oil temperature
4;1;1;0,75;0,3333333;525000;2;Økt temperatur skaper mye ekstremvær;Increased temperature creates extreme weather
3;1;1;0,75;0,6666667;452000;3;Økt temperatur på jorda;Increased temperature of the soil
3;1;1;0,5;0,6666667;560000;3;Økt temperatur mer nedbør og mer voldsomt vær;Increased temperature more rainfall and more severe weather
4;2;1;1;0,6666667;500000;3;Økt temperatur Isen rundt polene smelter Vannet stiger og klima endrer seg mange steder i verden;Increased temperature ice around the poles melt water is rising and climate change in many places in the world
4;1;1;0,25;0,3333333;550000;2;Økt temperatur i luft/vann;Increased temperature in the air / water
5;2;1;0,75;0,3333333;545000;3;Økt temperatur - økt storm - is smelting - naturkatastrofer - trussel mot dyr i polare strøk -;Increased temperature - increased storm - ice melting - natural disasters - threat to animals in polar regions -
5;2;1;0,25;0,3333333;400000;2;Økt temperatur;increased temperature
4;1;1;0,75;0,3333333;890000;3;Økt temperatur;increased temperature
3;1;1;0,5;0,3333333;610000;3;Økt innhold av CO2 i atmosfæren og dens påvirkning på global temperatur;Increased levels of CO2 in the atmosphere and its impact on global temperature
3;2;1;0,75;0,6666667;515000;3;Økt havnivå;rising sea levels
2;2;1;0,5;0,6666667;370000;2;Økt CO2 og høye utslepp fra fly;Increased CO2 and high emissions from aircraft
5;1;1;0,5;0,3333333;590000;3;Økt CO2 nivå pga bruk av fossilt brensel Økt temperatur;Increased CO2 levels due to use of fossil fuels increased temperature
5;1;1;0,75;0,3333333;1200000;3;Økonomisk grådighet;economic greed
3;2;0;0,25;0,3333333;450000;3;Økning i gjennomsnittstemperatur på jorden;Increase in the average temperature on Earth
5;1;1;1;0,3333333;500000;3;Økning i ekstremvær;Increase in extreme weather
4;2;1;0,25;0,3333333;510000;3;Økning av havnivå;Sea level rise
6;1;0;0,75;0,3333333;650000;3;Økning av gjennomsnittlig årstemperatur smelting av polarisen sterkere stormer og skadelig uvær enkelte områder på jorda Stigning av havflaten oversvømmelser;An increase in the average temperature melting of the polar ice stronger storms and damaging storms certain regions of the world by increasing the sea surface flooding
3;1;1;0,75;0,6666667;550000;3;Økning av gjennomsnittlig temperatur Global issmelting;The increase of average temperature Global ice melting
1;1;1;0;0;0;1;"Økning av ""Sealevels"" Mindre skog Stakkars søte isbjørner Dømmer menneskeheten i enden Kult me apokalypse da men :/";"Increasing the ""Sealevel"" Less forest Poor cute polar bears Judge humanity at the end Kult me ​​apocalypse then though: /"
4;1;0;0,5;0,6666667;100000;2;Øket gjennomsnittstemperatur på jorda og spesielt i nordområder;Increased average temperatures on Earth and especially in northern areas
1;2;1;0,25;0,3333333;40000;1;økende utslipp av klimagasser økende temperaturer og havnivå konsekvenser atmosfæren og ozonlaget;increasing greenhouse gases increasing temperatures and sea level consequences atmosphere and ozone layer
3;1;1;1;0,3333333;1100000;3;Økende temperatur Skiftende vær Norsk olje;Growing temperature Changing weather Norwegian oil
2;1;1;0,5;0,6666667;370000;2;Økende temperatur;increasing temperature
5;1;1;0,75;0,3333333;600000;3;Økende forurensning (meneskeskapt);Increased pollution (meneskeskapt)
2;1;1;0,75;0,6666667;0;3;ødeleggelser;destructions
5;1;1;0,5;0,3333333;0;3;Ødeleggelse;Destruction
5;2;1;1;0,6666667;0;3;Ødeleggelse;Destruction
1;2;1;0,25;0,3333333;80000;3;æsj;Yuck
6;1;1;0,75;0,6666667;300000;3;Ytterst vanskelig å få på plass internasjonale forpliktelser;Extremely difficult to put in place international obligations
3;1;1;0,5;0,6666667;1100000;3;www 360 no;www 360 no
4;1;1;0,75;0,3333333;360000;3;We are too comfortable to worry about it;We are too comfortable to worry about it
4;1;1;1;0,6666667;400000;2;Vått vær;wet weather
4;2;1;0,75;0,3333333;510000;3;Våtere villere varmere;Wetter wilder warmer
