"X"	"age"	"gender"	"humanmade"	"concern"	"efficacy"	"income"	"edu3"	"translation"	"univdummy"	"theta1"	"theta2"	"theta3"	"theta4"
"1"	0	5	2	1	1	0.3333333	400000	3	"Being environment friendly "	1	0.0983573651398382	0.651612602659997	0.172170112841453	0.0778599193587116
"2"	1	4	1	0	0.5	0.3333333	600000	2	"to so? has always been climate change "	0	0.0466509707639257	0.822588675024863	0.0907275033200902	0.0400328508911216
"4"	3	4	2	1	1	0.3333333	0	3	"Oh no not again - do something about it - now "	1	0.0888162811389851	0.66280265543141	0.172316944793833	0.0760641186357719
"5"	4	2	2	1	0.75	0.3333333	0	2	"Don't want climate to change "	0	0.0498611967965671	0.785394185948816	0.113596184539702	0.0511484327149152
"6"	5	4	1	0	0.5	0.3333333	500000	2	"increased challenges with the infrastructure in relation to extreme weather "	0	0.406644540372142	0.212553009809497	0.109802824787142	0.270999625031219
"7"	6	1	2	1	1	0.3333333	40000	3	"Increased global temperatures that will have major consequences BL A in the form of multiple and more powerful storms and sea rise man-made "	1	0.288541444919098	0.170278248003498	0.234832702123386	0.306347604954019
"8"	7	2	2	1	0.5	0.3333333	570000	3	"Increased water level and extreme weather "	1	0.399120046191421	0.0749448856067867	0.0996106746928438	0.426324393508948
"9"	8	3	2	1	0.75	0.6666667	850000	3	"Increased water level more frequent natural disasters "	1	0.312876342744233	0.125006304736201	0.208774070428595	0.353343282090972
"10"	9	3	2	1	0.75	0.6666667	500000	3	"Increased water level "	1	0.2757310362173	0.0857846632774508	0.105594920016727	0.532889380488522
"11"	10	4	1	0	0.5	0.3333333	900000	2	"Increased temperature "	0	0.392107565844045	0.242918048197032	0.129607597141785	0.235366788817138
"12"	11	4	1	1	0.75	0.3333333	525000	2	"Increased temperature creates a lot of extreme weather "	0	0.431506310428352	0.228053880372524	0.183902125951796	0.156537683247328
"13"	12	3	1	1	0.75	0.6666667	452000	3	"Increased temperature on Earth "	1	0.324381684552994	0.29901601082794	0.197414625514774	0.179187679104292
"14"	13	3	1	1	0.5	0.6666667	560000	3	"Increased temperature more precipitation and more violent weather "	1	0.50179279508808	0.0829367610859442	0.116229282628331	0.299041161197644
"15"	14	4	2	1	1	0.6666667	500000	3	"Increased temperature ice around the poles melt water rises and climate changes in many places in the world "	1	0.200856607802609	0.224374079989045	0.128385642106666	0.44638367010168
"16"	15	4	1	1	0.25	0.3333333	550000	2	"Increased temperature in air / water "	0	0.46288889558667	0.101875787056308	0.0997592940011331	0.335476023355889
"17"	16	5	2	1	0.75	0.3333333	545000	3	"Increased temperature - increased storm - Ice melting - natural disasters - threat to animal in polar regions - "	1	0.361155845841959	0.0848166094642225	0.184091950824384	0.369935593869435
"18"	17	5	2	1	0.25	0.3333333	400000	2	"Increased temperature "	0	0.480236744584105	0.131524179073308	0.109115457960208	0.279123618382378
"19"	18	4	1	1	0.75	0.3333333	890000	3	"Increased temperature "	1	0.43483334756245	0.155216903510156	0.170285790749652	0.239663958177742
"20"	19	3	1	1	0.5	0.3333333	610000	3	"Increased content of CO2 in the atmosphere and its influence on global temperature "	1	0.280097163874448	0.301414612848728	0.279017150895714	0.139471072381109
"21"	20	3	2	1	0.75	0.6666667	515000	3	"Increased sea level "	1	0.27573098057244	0.0857845674538713	0.105594821640004	0.532889630333685
"22"	21	2	2	1	0.5	0.6666667	370000	2	"Increased CO2 and high protection from aircraft "	0	0.287550069436108	0.171448333910582	0.124261802412532	0.416739794240777
"23"	22	5	1	1	0.5	0.3333333	590000	3	"Increased CO2 level due to use of fossil fuels increased temperature "	1	0.522963597181991	0.134585875983465	0.11814055044469	0.224309976389854
"24"	23	5	1	1	0.75	0.3333333	1200000	3	"Economic greed "	1	0.363364548059238	0.202652847915177	0.188211621683969	0.245770982341615
"25"	24	3	2	0	0.25	0.3333333	450000	3	"Increase in average temperature on earth "	1	0.40083472255686	0.282615358707661	0.133348058668331	0.183201860067147
"26"	25	5	1	1	1	0.3333333	500000	3	"Increase in extreme weather "	1	0.514283387130309	0.116639544282664	0.153393289526985	0.215683779060043
"27"	26	4	2	1	0.25	0.3333333	510000	3	"Increase sea level "	1	0.300454678908312	0.0808187179507642	0.0896502352173306	0.529076367923593
"28"	27	6	1	0	0.75	0.3333333	650000	3	"Increase of average annual temperature Melting of polaris Stronger storms and harmful storms Some areas on Earth rise by sea surface floods "	1	0.430784211006623	0.102017875090184	0.0779664527203339	0.38923146118286
"29"	28	3	1	1	0.75	0.6666667	550000	3	"Increase of average temperature global ice melting "	1	0.378645385301897	0.101709795101231	0.162446763205006	0.357198056391867
"30"	29	1	1	1	0	0	0	1	"Increase of \"SEALVELS\" Less forest poor cute polar bears judge humanity at end cool me apocalypse then but: / "	0	0.221224454131492	0.209420366503414	0.100632061137103	0.468723118227991
"31"	30	4	1	0	0.5	0.6666667	100000	2	"Increased average temperature on Earth and especially in North Areas "	0	0.37913066860484	0.230210433320268	0.137874091075836	0.252784806999057
"32"	31	1	2	1	0.25	0.3333333	40000	1	"Increasing emissions of greenhouse gases Increasing temperatures and sea level Consequences The atmosphere and ozone layer "	0	0.245549821093117	0.0819378148818653	0.092964705618391	0.579547658406627
"33"	32	3	1	1	1	0.3333333	1100000	3	"Increasing temperature changing weather Norwegian oil "	1	0.383476348178075	0.266517422601863	0.20757583411587	0.142430395104192
"34"	33	2	1	1	0.5	0.6666667	370000	2	"Increasing temperature "	0	0.395874503182496	0.181374027075927	0.151608329020042	0.271143140721535
"35"	34	5	1	1	0.75	0.3333333	600000	3	"Increasing pollution (Computer "	1	0.317556775601311	0.23673519124608	0.254279566820814	0.191428466331795
"36"	35	2	1	1	0.75	0.6666667	0	3	"destruction "	1	0.298786181146433	0.235210652022312	0.20953485049676	0.256468316334495
"37"	36	5	1	1	0.5	0.3333333	0	3	"Destruction "	1	0.374842338156512	0.197635884127873	0.176150462434462	0.251371315281153
"38"	37	5	2	1	1	0.6666667	0	3	"Destruction "	1	0.381089968382203	0.163058561631439	0.172336958387351	0.283514511599007
"40"	39	6	1	1	0.75	0.6666667	300000	3	"Extremely difficult to get in place international obligations "	1	0.379846476034013	0.109494815135173	0.122417137534314	0.388241571296499
"42"	41	4	1	1	0.75	0.3333333	360000	3	"We are too comfortable to worry about it "	1	0.111957208378148	0.596432211552147	0.197560173465482	0.0940504066042231
"43"	42	4	1	1	1	0.6666667	400000	2	"Wet weather "	0	0.303101781191178	0.145280507592907	0.13524423948306	0.416373471732855
"44"	43	4	2	1	0.75	0.3333333	510000	3	"Wet wilders warmer "	1	0.186376772373983	0.0686597710950753	0.0800246430156068	0.664938813515335
"45"	44	5	1	1	0.75	0.3333333	500000	3	"Wet and wilder "	1	0.220608621040376	0.104472489406499	0.112345921580752	0.562572967972373
"46"	45	5	2	1	0.75	0.3333333	3200000	2	"Wetter and warmer "	0	0.21490756496378	0.0931558648344198	0.0812250457743125	0.610711524427488
"47"	46	2	1	1	1	0.3333333	800000	3	"Our grandchildren come to condemn our generation that we didn't do what was needed "	1	0.0833107010492695	0.550723896265413	0.295340029809258	0.0706253728760591
"48"	47	6	1	0	0.25	0.3333333	450000	3	"Spring religion where hell is replaced with climate catastrophe "	1	0.105448100288868	0.685135599753699	0.1345485849686	0.0748677149888333
"49"	48	1	1	1	1	0.3333333	340731	2	"The greenhouse effect "	0	0.162703118238526	0.252581176792861	0.203163121050057	0.381552583918556
"51"	50	2	1	1	0.75	0.3333333	510000	3	"Weather problem: Higher temperature greater fluctuations Ice melting / higher water level wind and precipitation "	1	0.187035408753515	0.1148264859915	0.143455834308841	0.554682270946144
"54"	53	5	2	1	0.5	0.3333333	370000	2	"Weather conditions "	0	0.470863270019127	0.135412732441837	0.117536647429142	0.276187350109894
"55"	54	2	2	0	0.5	0.6666667	270000	2	"weather conditions "	0	0.371057992266471	0.231846526272129	0.125221903646908	0.271873577814492
"56"	55	3	2	0	0.25	0.3333333	425000	2	"Weather "	0	0.29618599159184	0.310562486967478	0.124022425075068	0.269229096365614
"57"	56	6	2	0	0.25	0	180000	2	"Weather "	0	0.360989747647518	0.269430229220241	0.111253293622446	0.258326729509795
"58"	57	5	1	1	0.75	0.6666667	570000	2	"Weather changes and more frequent extreme conditions "	0	0.580113725989962	0.111979069129543	0.115798471236679	0.192108733643815
"59"	58	4	2	1	0.5	0.6666667	400000	3	"Weather changes a lot of rainfall and wind "	1	0.305926693981805	0.148320135638127	0.16112407281246	0.384629097567608
"60"	59	5	2	1	1	0.3333333	548000	1	"Weather changes more extreme weather "	0	0.524930271086249	0.14165388359487	0.107519007215897	0.225896838102984
"61"	60	4	1	1	0.75	0.3333333	520000	3	"Weather change matkrices water crisis ozone layer "	1	0.261793322157754	0.0866378970844818	0.0969690704857627	0.554599710272001
"62"	61	2	2	1	0.75	0.3333333	120000	2	"Weather Changes Brugence "	0	0.283521595084191	0.320320700492302	0.168219086750994	0.227938617672513
"63"	62	3	2	0	0.5	0.6666667	430000	3	"Weather changes "	1	0.267538128641303	0.382770452783014	0.157827852130672	0.191863566445011
"64"	63	4	2	1	0.25	0.3333333	350000	2	"Weather changes "	0	0.35695860870666	0.263665600663566	0.139061236098037	0.240314554531737
"65"	64	5	1	1	0.5	0	240000	2	"Weather changes "	0	0.334683497549537	0.305688105361326	0.159114646153407	0.200513750935729
"66"	65	4	2	1	0.5	0.3333333	410000	3	"Weather changes "	1	0.362807155225922	0.242047533899138	0.169466657601022	0.225678653273918
